37525.00	31693.00	3770.00	22230.00	2600.00	5317.00	2929.00	1786.00	18000.00	2435.00	5396.00	11213.00	3905.00	29285.00	17735.00	-1886.00	2187.00	24238.00	23136.00	820.00	2717.00	72.00	3150.00	11961.00	34792.00	-41977.00	398.00	-9835.00	-53938.00
38047.00	21806.00	3898.00	18102.00	3500.00	16175.00	4306.00	3506.00	17000.00	-1202.00	17172.00	13950.00	8672.00	21687.00	16968.00	-4474.00	3066.00	23185.00	42586.00	24584.00	2848.00	7259.00	1967.00	15361.00	69835.00	-43645.00	5304.00	18766.00	31742.00
64812.00	37824.00	4327.00	34673.00	7100.00	19339.00	13712.00	4453.00	29000.00	12659.00	35318.00	78151.00	37674.00	54433.00	55176.00	73060.00	8013.00	32935.00	99182.00	-23667.00	3349.00	147600.00	2370.00	14885.00	61025.00	27023.00	7656.00	-4302.00	47370.00
166869.00	89464.00	7688.00	99312.00	28000.00	33978.00	76052.00	-19033.00	104000.00	28958.00	89620.00	200724.00	49721.00	57166.00	53490.00	-13069.00	10216.00	166627.00	111805.00	-136948.00	1670.00	59273.00	-2426.00	12841.00	58459.00	25909.00	2809.00	19736.00	76578.00
603358.00	325303.00	36123.00	297887.00	73000.00	242627.00	178047.00	-7890.00	316000.00	8591.00	155904.00	550294.00	162605.00	205534.00	122383.00	26864.00	49937.00	464408.00	27358.00	-203232.00	1004.00	174.00	-12359.00	14616.00	-63294.00	6305.00	101.00	3293.00	32980.00
809692.00	499300.00	56665.00	397763.00	80000.00	277548.00	169388.00	91435.00	395400.00	21416.00	198047.00	454467.00	157492.00	304580.00	167681.00	108712.00	105769.00	431139.00	148359.00	139314.00	744.00	19.00	757.00	5827.00	23913.00	-47224.00	100.00	19746.00	-13963.00
417092.00	325963.00	35836.00	177746.00	21000.00	184192.00	73336.00	53031.00	313900.00	28477.00	82075.00	179997.00	64669.00	139196.00	99269.00	83435.00	39943.00	131339.00	165119.00	334845.00	1441.00	25.00	541.00	5432.00	50667.00	-9399.00	125.00	47982.00	36699.00
193160.00	148095.00	13887.00	86083.00	6400.00	101456.00	47813.00	13960.00	148200.00	15014.00	57120.00	55512.00	34265.00	62315.00	60456.00	45430.00	21031.00	59225.00	200388.00	235276.00	3097.00	1266.00	-1415.00	6792.00	27573.00	-7421.00	925.00	63912.00	22834.00
210126.00	117988.00	14838.00	47100.00	4100.00	148565.00	48778.00	32593.00	80700.00	5999.00	27732.00	47841.00	16663.00	56374.00	54942.00	50060.00	14606.00	53740.00	194900.00	275514.00	2412.00	26033.00	-4535.00	6725.00	-27677.00	3543.00	475.00	54812.00	44444.00
108379.00	71206.00	8766.00	42234.00	4600.00	49485.00	22429.00	7597.00	37400.00	5709.00	6094.00	37298.00	18071.00	35897.00	29477.00	20301.00	4239.00	37553.00	55282.00	137790.00	1352.00	1443.00	11392.00	5188.00	-104661.00	27270.00	227.00	52318.00	-2619.00
